ID,Reference(s),Map update,Reference DOI #,"Latitude (decimal deg., WGS 84)","Longitude (decimal deg., WGS 84)",event.start,event.end
GTM_14,"Fischer amd Gardner, 1995; Fischer, 1997; Gardner amd Fischer, 1996",2010,,20.46025974,74.41238509,1990,
GTM_140,"Zhou, Guoyi, et al. ""Substantial reorganization of China's tropical and subtropical forests: based on the permanent plots."" Global change biology 20.1 (2014): 240-250.",2015,https://doi.org/10.1111/gcb.12385,26.194877,107.753906,1978,2012
GTM_141,"Peng, Changhui, et al. ""A drought-induced pervasive increase in tree mortality across Canada's boreal forests."" Nature climate change 1.9 (2011): 467.",2014,https://doi.org/10.1038/NCLIMATE1293,53,-9,1963,2008
GTM_142,"?ater, Matjaž. ""A 20-year overview of Quercus robur L. mortality and crown conditions in Slovenia."" Forests 6.3 (2015): 581-593.",2015,https://doi.org/10.3390/f6030581,46.206448,15.595093,2003,"2003, 2013"
GTM_143,"DeRose, R. Justin, and James N. Long. ""Drought-driven disturbance history characterizes a southern Rocky Mountain subalpine forest."" Canadian Journal of Forest Research 42.9 (2012): 1649-1660.",2014,https://doi.org/10.1139/X2012-102,37.64026,-112.8245,1600,2000
GTM_144,"Zegler, Thomas J., et al. ""Populus tremuloides mortality near the southwestern edge of its range."" Forest Ecology and Management 282 (2012): 196-207.",2015,https://doi.org/10.1016/j.foreco.2012.07.004,35.294952,-112.038574,1997,2012
GTM_145,"Fellows, Aaron W., and Michael L. Goulden. ""Rapid vegetation redistribution in Southern California during the early 2000s drought."" Journal of Geophysical Research: Biogeosciences 117.G3 (2012).",2014,https://doi.org/10.1029/2012JG002044,33.80367,-116.8049,2002,2004
GTM_146,"Brienen, Roel Jacobus Wilhelmus, et al. ""Long-term decline of the Amazon carbon sink."" Nature 519.7543 (2015): 344-348.",2015,https://doi.org/10.1038/nature14283,-7.536764,-60.205078,1983,2011
GTM_147,"Hong-fu, Xiong., et al. ""Effects of extreme drought on plant species in Karst area of Guizhou Province, Southwest China."" Yingyong Shengtai Xuebao 22.5 (2011).",2015,n/a,26.94166,107.094727,2010,2010
GTM_148,"Kaiser, Kendra E., Brian L. McGlynn, and Ryan E. Emanuel. ""Ecohydrology of an outbreak: mountain pine beetle impacts trees in drier landscape positions first."" Ecohydrology 6.3 (2013): 444-454.",2014,https://doi.org/10.1002/eco.1286,46.91683,-110.9099,2010,2010
GTM_149,"Andersson, Marie, Per Milberg, and Karl-Olof Bergman. ""Low pre-death growth rates of oak (Quercus robur L.)—Is oak death a long-term process induced by dry years?."" Annals of Forest Science 68.1 (2011): 159-168.",2016,https://doi.org/10.1007/s13595-011-0017-y,58.555359,16.177368,1987,2006
GTM_15,"Kinnaird and O'Brein, 1998",2010,,17.02724066,42.49389371,1997,1998
GTM_150,"Millar, Constance I., et al. ""Forest mortality in high-elevation whitebark pine (Pinus albicaulis) forests of eastern California, USA; influence of environmental context, bark beetles, climatic water deficit, and warming."" Canadian Journal of Forest Research 42.4 (2012): 749-765.",2014,https://doi.org/10.1139/X2012-031,38,-119,2007,2010
GTM_151,"Rigling, Andreas, et al. ""Driving factors of a vegetation shift from Scots pine to pubescent oak in dry Alpine forests."" Global Change Biology 19.1 (2013): 229-240.",2016,https://doi.org/10.1111/gcb.12038,46.356406,7.756348,1996,2011
GTM_152,"Cavin, Liam, et al. ""Extreme drought alters competitive dominance within and between tree species in a mixed forest stand."" Functional Ecology 27.6 (2013): 1424-1435.",2016,https://doi.org/10.1111/1365-2435.12126,51.821137,-2.660751,1977,1992
GTM_153,"Martin, Philip A., et al. ""Stand dieback and collapse in a temperate forest and its impact on forest structure and biodiversity."" Forest Ecology and Management 358 (2015): 130-138.",2016,https://doi.org/10.1016/j.foreco.2015.08.033,50.861444,-1.604004,1984,1988
GTM_154,"Garrity, Steven R., et al. ""Quantifying tree mortality in a mixed species woodland using multitemporal high spatial resolution satellite imagery."" Remote Sensing of Environment 129 (2013): 54-65.",2014,https://doi.org/10.1016/j.rse.2012.10.029,35.7679,-106.3218,2002,2011
GTM_155,"Kharuk, Viacheslav I., et al. ""Climate-induced mortality of spruce stands in Belarus."" Environmental Research Letters 10.12 (2015): 125006.",2016,https://doi.org/10.1088/1748-9326/10/12/125006,53.852527,28.476563,1989,2005
GTM_156,"Kukowski, Kelly R., Susanne Schwinning, and Benjamin F. Schwartz. ""Hydraulic responses to extreme drought conditions in three co-dominant tree species in shallow soil over bedrock."" Oecologia 171.4 (2013): 819-830.",2014,https://doi.org/10.1007/s00442-012-2466-x,29.90226,-97.93172,2009,2009
GTM_157,"de la Serrana, R. García, A. Vilagrosa, and J. A. Alloza. ""Pine mortality in southeast Spain after an extreme dry and warm year: interactions among drought stress, carbohydrates and bark beetle attack."" Trees 29.6 (2015): 1791-1804.",2016,https://doi.org/10.1007/s00468-015-1261-9,38.642618,-0.65918,2013,2014
GTM_158,"Williams, A. Park, et al. ""Temperature as a potent driver of regional forest drought stress and tree mortality."" Nature climate change 3.3 (2013): 292.",2014,https://doi.org/10.1038/NCLIMATE1693,36.99898,-109.0452,1896,2012
GTM_159,"Herguido, Estela, et al. ""Contrasting growth and mortality responses to climate warming of two pine species in a continental Mediterranean ecosystem."" Forest Ecology and Management 363 (2016): 149-158.",2016,https://doi.org/10.1016/j.foreco.2015.12.038,40.655639,-2.131348,2005,2008
GTM_16,"van Nieuwstadt and Shiel, 2005; Potts, 2003; Aiba and Kitayama, 2002; Slik, 2004",2010,,-0.253683255,100.6271101,1997,1998
GTM_160,"Worrall, James J., et al. ""Recent declines of Populus tremuloides in North America linked to climate."" Forest Ecology and Management 299 (2013): 35-51.",2014,https://doi.org/10.1016/j.foreco.2012.12.033,32,88,2000,2010
GTM_161,"Haavik, Laurel J., et al. ""Emergent insects, pathogens and drought shape changing patterns in oak decline in North America and Europe."" Forest Ecology and Management 354 (2015): 190-205.",2016,https://doi.org/10.1016/j.foreco.2015.06.019,46.860191,2.724609,1990,ongoing
